Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,SpendCount,GroupMemberNo,GroupSize,CabinNum,SurnameFreq,LuxurySpend,BasicSpend,LuxuryShare,SpendPerActiveCategory,HasAnyLuxurySpend,AgeWasOutOfRange,IsChild,IsSenior,IsSolo,IsMultiPassengerGroup,GroupMemberIsLeader,AgeMissing,HomePlanetMissing,CryoSleepMissing,CabinMissing,DestinationMissing,VIPMissing,RoomServiceMissing,FoodCourtMissing,ShoppingMallMissing,SpaMissing,VRDeckMissing,NameMissing,IsZeroSpend,HomePlanet,CryoSleep,Destination,VIP,Deck,Side,AgeGroup,CabinNumBin,DeckSide,HomePlanetDestination,Surname
48.0,719.0,1.0,65.0,0.0,24.0,809.0,4,1,1,1,5,24.0,785.0,0.02962962962962963,202.25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,G,S,MiddleAge,CabinBin_1,G_S,Earth_TRAPPIST-1e,Baketton
28.0,8.0,974.0,12.0,2.0,7.0,1003.0,5,1,1,2,4,9.0,994.0,0.008964143426294821,200.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,P,YoungAdult,CabinBin_1,F_P,Earth_TRAPPIST-1e,Bertsontry
31.0,32.0,0.0,876.0,0.0,0.0,908.0,2,1,1,-1,7,0.0,908.0,0.0,454.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,Unknown,Unknown,Adult,CabinBin_Missing,Unknown_Unknown,Earth_TRAPPIST-1e,Pooles
27.0,1286.0,122.0,0.0,0.0,0.0,1408.0,2,1,1,3,1,0.0,1408.0,0.0,704.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Mars,False,55 Cancri e,False,F,P,YoungAdult,CabinBin_1,F_P,Mars_55 Cancri e,Eccle
24.0,0.0,1.0,0.0,0.0,637.0,638.0,2,1,1,4,7,637.0,1.0,0.9968701095461658,319.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,55 Cancri e,False,F,P,YoungAdult,CabinBin_1,F_P,Earth_55 Cancri e,Hughriend
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,5,3,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Mars,True,TRAPPIST-1e,False,F,P,MiddleAge,CabinBin_1,F_P,Mars_TRAPPIST-1e,Upead
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,False,TRAPPIST-1e,False,G,P,Child,CabinBin_1,G_P,Earth_TRAPPIST-1e,Brighttt
14.0,412.0,0.0,1.0,0.0,679.0,1092.0,3,2,2,6,6,679.0,413.0,0.6212259835315646,364.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,55 Cancri e,False,F,P,Teen,CabinBin_1,F_P,Earth_55 Cancri e,Brighttt
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,6,0,7,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,TRAPPIST-1e,False,E,S,Child,CabinBin_1,E_S,Earth_TRAPPIST-1e,Brantuarez
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,6,0,7,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,55 Cancri e,False,E,S,MiddleAge,CabinBin_1,E_S,Earth_55 Cancri e,Brantuarez
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,6,0,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Earth,True,55 Cancri e,False,E,S,YoungAdult,CabinBin_1,E_S,Earth_55 Cancri e,Mcfaddennon
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,6,0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,False,TRAPPIST-1e,False,E,S,Child,CabinBin_1,E_S,Earth_TRAPPIST-1e,Jacostanley
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,6,0,7,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Earth,True,PSO J318.5-22,False,E,S,Child,CabinBin_1,E_S,Earth_PSO J318.5-22,Brantuarez
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6,0,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,False,TRAPPIST-1e,False,E,S,Child,CabinBin_1,E_S,Earth_TRAPPIST-1e,Mcfaddennon
21.0,980.0,2.0,69.0,0.0,0.0,1051.0,3,1,1,0,0,0.0,1051.0,0.0,350.3333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Mars,False,TRAPPIST-1e,False,D,P,YoungAdult,CabinBin_1,D_P,Mars_TRAPPIST-1e,Unknown
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,1,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Europa,True,TRAPPIST-1e,False,C,S,Senior,CabinBin_1,C_S,Europa_TRAPPIST-1e,Fullided
15.0,0.0,225.0,0.0,998.0,0.0,1223.0,2,1,1,6,3,998.0,225.0,0.815359477124183,611.5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,Teen,CabinBin_1,F_S,Earth_TRAPPIST-1e,Brookenson
34.0,22.0,6073.0,0.0,1438.0,328.0,7861.0,4,1,1,0,2,1766.0,6095.0,0.22462477741032816,1965.25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,55 Cancri e,False,C,P,Adult,CabinBin_1,C_P,Europa_55 Cancri e,Unconary
43.0,1125.0,0.0,136.0,48.0,0.0,1309.0,3,1,1,8,5,48.0,1261.0,0.0366412213740458,436.3333333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,Adult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Mare
32.0,0.0,850.0,81.0,437.0,453.0,1821.0,4,1,1,4,4,890.0,931.0,0.4884742041712404,455.25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,G,S,Adult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Morsentley
47.0,214.0,0.0,1411.0,0.0,1229.0,2854.0,3,1,3,9,4,1229.0,1625.0,0.43047285464098073,951.3333333333334,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,MiddleAge,CabinBin_1,F_P,Mars_TRAPPIST-1e,Datie
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,9,4,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mars,False,TRAPPIST-1e,False,F,P,Child,CabinBin_1,F_P,Mars_TRAPPIST-1e,Datie
20.0,0.0,0.0,1750.0,990.0,0.0,2740.0,2,3,3,9,4,990.0,1750.0,0.36118205034658885,1370.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,YoungAdult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Datie
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa,True,55 Cancri e,False,D,S,YoungAdult,CabinBin_1,D_S,Europa_55 Cancri e,Oingwhedly
23.0,784.0,964.0,0.0,951.0,0.0,2699.0,3,1,1,1,5,951.0,1748.0,0.3522222222222222,899.6666666666666,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,55 Cancri e,False,D,P,YoungAdult,CabinBin_1,D_P,Mars_55 Cancri e,Butte
15.0,0.0,492.0,48.0,20.0,401.0,961.0,4,1,1,8,5,421.0,540.0,0.4376299376299376,240.25,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Earth,False,55 Cancri e,Unknown,F,S,Teen,CabinBin_1,F_S,Earth_55 Cancri e,Leodger
20.0,554.0,195.0,0.0,2606.0,0.0,3355.0,3,1,1,10,7,2606.0,749.0,0.7765196662693683,1118.3333333333333,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,55 Cancri e,False,F,S,YoungAdult,CabinBin_1,F_S,Earth_55 Cancri e,Wheelez
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Earth,True,55 Cancri e,False,G,P,Adult,CabinBin_1,G_P,Earth_55 Cancri e,Batthewitt
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,2,10,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,TRAPPIST-1e,False,G,P,Teen,CabinBin_1,G_P,Earth_TRAPPIST-1e,Moodsey
45.0,0.0,164.0,45.0,2511.0,855.0,3575.0,4,1,1,3,2,3366.0,209.0,0.9412751677852349,893.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,TRAPPIST-1e,False,B,P,MiddleAge,CabinBin_1,B_P,Europa_TRAPPIST-1e,Cylistrand
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,3,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,TRAPPIST-1e,False,G,P,MiddleAge,CabinBin_1,G_P,Earth_TRAPPIST-1e,Coopelandez
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,3,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,55 Cancri e,False,G,P,Child,CabinBin_1,G_P,Earth_55 Cancri e,Coopelandez
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,3,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,PSO J318.5-22,False,G,P,YoungAdult,CabinBin_1,G_P,Earth_PSO J318.5-22,Coopelandez
21.0,970.0,0.0,180.0,0.0,64.0,1214.0,3,1,2,10,4,64.0,1150.0,0.05267489711934156,404.6666666666667,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,YoungAdult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Chmad
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,10,4,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Mars,True,TRAPPIST-1e,False,F,P,YoungAdult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Chmad
35.0,790.0,0.0,0.0,1.0,0.0,791.0,2,1,1,1,2,1.0,790.0,0.0012626262626262627,395.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Earth,False,55 Cancri e,False,E,S,Adult,CabinBin_1,E_S,Earth_55 Cancri e,Lancis
56.0,0.0,112.0,0.0,1379.0,127.0,1618.0,3,1,1,2,6,1506.0,112.0,0.9302038295243977,539.3333333333334,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,E,S,MiddleAge,CabinBin_1,E_S,Earth_TRAPPIST-1e,Johnshines
27.0,4.0,0.0,2.0,4683.0,0.0,4689.0,3,1,1,6,8,4683.0,6.0,0.9985074626865672,1563.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,G,S,YoungAdult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Hubbarton
25.0,0.0,0.0,1938.0,0.0,1.0,1939.0,2,1,1,11,4,1.0,1938.0,0.0005154639175257732,969.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,YoungAdult,CabinBin_1,F_S,Earth_TRAPPIST-1e,Hickerson
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,1,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa,False,TRAPPIST-1e,False,A,S,Child,CabinBin_1,A_S,Europa_TRAPPIST-1e,Tractive
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,1,6,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa,True,TRAPPIST-1e,False,A,S,Adult,CabinBin_1,A_S,Europa_TRAPPIST-1e,Tractive
27.0,279.0,605.0,3374.0,286.0,3.0,4547.0,5,3,3,1,6,289.0,4258.0,0.06354441512752858,909.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,TRAPPIST-1e,False,A,S,YoungAdult,CabinBin_1,A_S,Europa_TRAPPIST-1e,Tractive
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,7,3,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,PSO J318.5-22,False,G,S,Adult,CabinBin_1,G_S,Earth_PSO J318.5-22,Ayalazquez
22.0,45.0,1096.0,148.0,1377.0,1.0,2667.0,5,1,1,12,4,1378.0,1289.0,0.5164917541229386,533.4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,YoungAdult,CabinBin_1,F_S,Earth_TRAPPIST-1e,Salez
62.0,0.0,592.0,0.0,17.0,25.0,634.0,3,1,1,13,6,42.0,592.0,0.06614173228346457,211.33333333333334,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,Senior,CabinBin_1,F_S,Earth_TRAPPIST-1e,Greeves
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,14,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Mars,True,TRAPPIST-1e,False,F,S,Teen,CabinBin_1,F_S,Mars_TRAPPIST-1e,Unknown
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,3,1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Mars,True,TRAPPIST-1e,False,E,S,Adult,CabinBin_1,E_S,Mars_TRAPPIST-1e,Keen
62.0,1.0,153.0,197.0,0.0,460.0,811.0,4,1,1,6,3,460.0,351.0,0.5665024630541872,202.75,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,G,P,Senior,CabinBin_1,G_P,Earth_TRAPPIST-1e,Pecketton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,10,6,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,PSO J318.5-22,False,G,S,Child,CabinBin_1,G_S,Earth_PSO J318.5-22,Leeves
18.0,1.0,258.0,446.0,0.0,0.0,705.0,3,2,3,10,6,0.0,705.0,0.0,235.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,G,S,YoungAdult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Leeves
21.0,1946.0,37.0,0.0,0.0,24.0,2007.0,3,3,3,15,6,24.0,1983.0,0.01195219123505976,669.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,55 Cancri e,False,F,S,YoungAdult,CabinBin_1,F_S,Earth_55 Cancri e,Leeves
27.0,793.0,0.0,2.0,253.0,0.0,1048.0,3,1,1,4,3,253.0,795.0,0.24118207816968543,349.3333333333333,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,E,S,YoungAdult,CabinBin_1,E_S,Mars_TRAPPIST-1e,Binie
42.0,887.0,0.0,9.0,6.0,0.0,902.0,3,1,1,16,0,6.0,896.0,0.006644518272425249,300.6666666666667,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Earth,False,TRAPPIST-1e,False,F,S,Adult,CabinBin_1,F_S,Earth_TRAPPIST-1e,Unknown
19.0,190.0,0.0,5.0,1.0,726.0,922.0,4,1,1,13,6,727.0,195.0,0.7876489707475623,230.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,P,YoungAdult,CabinBin_1,F_P,Earth_TRAPPIST-1e,Brighttt
17.0,16.0,2165.0,0.0,0.0,52.0,2233.0,3,1,1,14,3,52.0,2181.0,0.023276633840644583,744.3333333333334,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,P,Teen,CabinBin_1,F_P,Earth_TRAPPIST-1e,Dillines
14.0,0.0,1.0,0.0,0.0,1063.0,1064.0,2,1,1,17,7,1063.0,1.0,0.9981220657276996,532.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,S,Teen,CabinBin_1,F_S,Earth_TRAPPIST-1e,Brantuarez
37.0,46.0,83.0,738.0,0.0,12.0,879.0,4,1,1,3,8,12.0,867.0,0.013636363636363636,219.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,PSO J318.5-22,False,D,P,Adult,CabinBin_1,D_P,Mars_PSO J318.5-22,Make
42.0,1.0,8397.0,0.0,0.0,506.0,8904.0,3,1,1,3,4,506.0,8398.0,0.05682201010668164,2968.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,TRAPPIST-1e,False,C,S,Adult,CabinBin_1,C_S,Europa_TRAPPIST-1e,Mostedry
27.0,147.0,0.0,1018.0,0.0,0.0,1165.0,2,1,1,18,10,0.0,1165.0,0.0,582.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,S,YoungAdult,CabinBin_1,F_S,Mars_TRAPPIST-1e,Dal
28.0,14.0,0.0,1295.0,0.0,0.0,1309.0,2,1,1,15,1,0.0,1309.0,0.0,654.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,YoungAdult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Blité
38.0,0.0,5840.0,0.0,321.0,9654.0,15815.0,3,1,1,4,2,9975.0,5840.0,0.6306904400606981,5271.666666666667,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Europa,False,TRAPPIST-1e,False,C,S,Adult,CabinBin_1,C_S,Europa_TRAPPIST-1e,Pokerheed
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,13,9,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,TRAPPIST-1e,False,G,S,Teen,CabinBin_1,G_S,Earth_TRAPPIST-1e,Vinozarks
42.0,7406.0,0.0,0.0,0.0,0.0,7406.0,1,1,3,16,4,0.0,7406.0,0.0,7406.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mars,False,TRAPPIST-1e,False,F,P,Adult,CabinBin_1,F_P,Mars_TRAPPIST-1e,Datte
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,16,4,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mars,True,TRAPPIST-1e,False,F,P,Child,CabinBin_1,F_P,Mars_TRAPPIST-1e,Datte
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3,16,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Mars,False,TRAPPIST-1e,False,F,P,Child,CabinBin_1,F_P,Mars_TRAPPIST-1e,Unknown
24.0,688.0,0.0,0.0,0.0,17.0,705.0,2,1,1,14,5,17.0,688.0,0.024079320113314446,352.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,G,S,YoungAdult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Coopezmaney
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,5,2,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Europa,True,TRAPPIST-1e,False,C,S,Adult,CabinBin_1,C_S,Europa_TRAPPIST-1e,Ellcefulve
43.0,211.0,0.0,0.0,638.0,513.0,1362.0,3,1,1,17,5,1151.0,211.0,0.8444607483492297,454.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Earth,False,TRAPPIST-1e,False,F,P,Adult,CabinBin_1,F_P,Earth_TRAPPIST-1e,Kinson
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,5,3,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Mars,True,PSO J318.5-22,False,E,S,MiddleAge,CabinBin_1,E_S,Mars_PSO J318.5-22,Sacre
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,15,10,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Earth,True,TRAPPIST-1e,False,G,S,Adult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Santry
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,16,11,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Earth,True,TRAPPIST-1e,False,G,S,YoungAdult,CabinBin_1,G_S,Earth_TRAPPIST-1e,Yorkland
